# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494853720813e-10       7.287189269814e-15       4.814014736787e-13       0.000000000000e+00       8.824705325779e-09       4.854412255456e-10      -2.509199940220e-12 
    3       1.409232150967e-10       1.233902927379e-14       6.057304419538e-13       0.000000000000e+00       5.420163132421e-09       3.460503754128e-10      -2.206965371209e-12 
    4       1.324583362284e-10       1.440622963386e-14       6.265593530976e-13       0.000000000000e+00       3.766656346720e-09       2.634089693903e-10      -1.760485080501e-12 
    5       1.257492883392e-10       1.332206657754e-14       5.867564902876e-13       0.000000000000e+00       2.811336060090e-09       2.089779079352e-10      -1.306654697415e-12 
    6       1.208032446602e-10       1.027923145069e-14       5.163537831954e-13       0.000000000000e+00       2.196151125788e-09       1.706542446764e-10      -8.928197817183e-13 
    7       1.173594982665e-10       6.812746138891e-15       4.356573216786e-13       0.000000000000e+00       1.772011677946e-09       1.424115158231e-10      -5.430982089308e-13 
    8       1.150306946122e-10       4.025918785388e-15       3.569896555476e-13       0.000000000000e+00       1.464698693163e-09       1.208092648588e-10      -2.682343211236e-13 
    9       1.136049138867e-10       2.327647638789e-15       2.876208512825e-13       0.000000000000e+00       1.233367577959e-09       1.037915115753e-10      -6.983575384105e-14 
   10       1.128815844707e-10       1.566555439219e-15       2.315209062655e-13       0.000000000000e+00       1.054023401044e-09       9.016375156240e-11       5.743008466380e-14 
   11       1.126903797616e-10       1.341954256410e-15       1.904150142304e-13       0.000000000000e+00       8.886984365407e-10       7.941958302435e-11       1.230677839313e-13 
   12       1.129728837744e-10       1.284637321853e-15       1.640158051854e-13       0.000000000000e+00       7.765354199150e-10       7.029606350302e-11       1.419902740144e-13 
   13       1.135524190540e-10       1.197295471697e-15       1.505497703120e-13       0.000000000000e+00       6.844650105250e-10       6.270082114649e-11       1.274545789787e-13 
   14       1.143495755462e-10       1.051909579625e-15       1.474482100434e-13       0.000000000000e+00       6.078564430794e-10       5.617357290763e-11       9.265081998236e-14 
   15       1.153784485884e-10       9.081749371595e-16       1.517051031898e-13       0.000000000000e+00       5.433746300866e-10       5.071479117026e-11       4.956179946427e-14 
   16       1.166156088773e-10       8.273411957613e-16       1.603146901423e-13       0.000000000000e+00       4.885510562319e-10       4.612029445472e-11       7.299179497714e-15 
   17       1.179368819780e-10       8.268064184737e-16       1.708169963145e-13       0.000000000000e+00       4.415214506198e-10       4.215027989953e-11      -2.781426955903e-14 
   18       1.193854322237e-10       8.792391182868e-16       1.813011076874e-13       0.000000000000e+00       4.007007018877e-10       3.858558870575e-11      -5.221963503088e-14 
   19       1.209686912181e-10       9.520811300582e-16       1.908058019963e-13       0.000000000000e+00       3.654416952481e-10       3.541557691092e-11      -6.501058771446e-14 
   20       1.226077943753e-10       1.011957026201e-15       1.986279019098e-13       0.000000000000e+00       3.343869856413e-10       3.262138845221e-11      -6.699648962223e-14 
   21       1.243174607226e-10       1.061807491943e-15       2.048193683848e-13       0.000000000000e+00       3.070491545338e-10       3.016986906211e-11      -6.032713449314e-14 
   22       1.261077039914e-10       1.119694151946e-15       2.097918900435e-13       0.000000000000e+00       2.827740895782e-10       2.798024397950e-11      -4.836562394473e-14 
   23       1.279631341361e-10       1.204832701850e-15       2.140385047867e-13       0.000000000000e+00       2.612280484017e-10       2.600902903731e-11      -3.402180436669e-14 
   24       1.298423661594e-10       1.335627567989e-15       2.181373591481e-13       0.000000000000e+00       2.419130530070e-10       2.420411385446e-11      -2.035596195686e-14 
   25       1.317605009224e-10       1.512583466072e-15       2.225153124435e-13       0.000000000000e+00       2.246023700168e-10       2.256233550816e-11      -9.280338672880e-15 
   26       1.337325509983e-10       1.728863578050e-15       2.275239526783e-13       0.000000000000e+00       2.089832606018e-10       2.108065149305e-11      -2.221821895911e-15 
   27       1.357505695318e-10       1.978045493987e-15       2.332291187106e-13       0.000000000000e+00       1.948685659469e-10       1.975047091631e-11       6.724630142525e-16 
   28       1.377909569514e-10       2.253665879542e-15       2.395298728554e-13       0.000000000000e+00       1.820150263784e-10       1.855092329197e-11      -1.272416462844e-16 
   29       1.398603813128e-10       2.555262707962e-15       2.461195492513e-13       0.000000000000e+00       1.703569787834e-10       1.746884160518e-11      -3.819023051363e-15 
   30       1.419635422935e-10       2.884133926437e-15       2.525271389202e-13       0.000000000000e+00       1.597691571289e-10       1.648035914022e-11      -9.212917668067e-15 
   31       1.440947212496e-10       3.240935717205e-15       2.582050104607e-13       0.000000000000e+00       1.500355335067e-10       1.555373597318e-11      -1.490482082176e-14 
   32       1.462575286624e-10       3.623435333278e-15       2.627915769201e-13       0.000000000000e+00       1.411059691147e-10       1.468836389422e-11      -2.001049810070e-14 
   33       1.484498749935e-10       4.027811872262e-15       2.659367496601e-13       0.000000000000e+00       1.329175324591e-10       1.388883379053e-11      -2.367906634108e-14 
   34       1.506633032754e-10       4.450771902736e-15       2.673004079292e-13       0.000000000000e+00       1.253558610269e-10       1.315462357553e-11      -2.513192593795e-14 
   35       1.529034081787e-10       4.895146892703e-15       2.667973386204e-13       0.000000000000e+00       1.183823106312e-10       1.248149774666e-11      -2.449463945692e-14 
   36       1.551748857826e-10       5.366326936691e-15       2.644397522569e-13       0.000000000000e+00       1.119409435974e-10       1.185958353181e-11      -2.226756141368e-14 
   37       1.574773035017e-10       5.869859462775e-15       2.602831002475e-13       0.000000000000e+00       1.059479414210e-10       1.127641733667e-11      -1.905159451639e-14 
   38       1.598118990348e-10       6.407983194764e-15       2.544519638336e-13       0.000000000000e+00       1.003878470291e-10       1.073066724649e-11      -1.531541270024e-14 
   39       1.621758043999e-10       6.981994028806e-15       2.471281174966e-13       0.000000000000e+00       9.524305376183e-11       1.022233344632e-11      -1.156634604184e-14 
   40       1.645593795855e-10       7.593168751006e-15       2.385479461450e-13       0.000000000000e+00       9.046453034025e-11       9.748765355786e-12      -8.421445173419e-15 
   41       1.669511094047e-10       8.242553817743e-15       2.289367737702e-13       0.000000000000e+00       8.598891096411e-11       9.305805999109e-12      -6.454849286952e-15 
   42       1.693558000484e-10       8.930257359495e-15       2.182780222439e-13       0.000000000000e+00       8.180304676578e-11       8.892253839183e-12      -5.663847877852e-15 
   43       1.717811936968e-10       9.655920847809e-15       2.064745883363e-13       0.000000000000e+00       7.789585384018e-11       8.506446843405e-12      -5.840405897170e-15 
