# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494858595753e-10       7.287428360947e-15       4.814014684920e-13       2.390911004628e-19       8.824705325779e-09       4.854412255456e-10      -2.509199940220e-12 
    3       1.409241878969e-10       1.233950768801e-14       6.057304188829e-13       4.784139023038e-19       5.420163132421e-09       3.460503754128e-10      -2.206965371209e-12 
    4       1.324599527552e-10       1.440702749868e-14       6.265592869734e-13       7.978632433256e-19       3.766656346720e-09       2.634089693903e-10      -1.760485080501e-12 
    5       1.257517042469e-10       1.332326430860e-14       5.867563401216e-13       1.197725683302e-18       2.811336060090e-09       2.089779079352e-10      -1.306654697415e-12 
    6       1.208066122704e-10       1.028090980619e-14       5.163534890211e-13       1.678340910602e-18       2.196151125788e-09       1.706542446764e-10      -8.928197817183e-13 
    7       1.173639660801e-10       6.814986263121e-15       4.356568018661e-13       2.240090493048e-18       1.772011677946e-09       1.424115158231e-10      -5.430982089308e-13 
    8       1.150364069070e-10       4.028802240057e-15       3.569888046445e-13       2.883385412647e-18       1.464698693163e-09       1.208092648588e-10      -2.682343211236e-13 
    9       1.136120104095e-10       2.331256421156e-15       2.876195384067e-13       3.608652876960e-18       1.233367577959e-09       1.037915115753e-10      -6.983575384105e-14 
   10       1.128902002261e-10       1.570971986569e-15       2.315189740555e-13       4.416322927024e-18       1.054023401044e-09       9.016375156240e-11       5.743008466380e-14 
   11       1.127006448981e-10       1.347261436785e-15       1.904122783354e-13       5.306815367695e-18       8.886984365407e-10       7.941958302435e-11       1.230677839313e-13 
   12       1.129849235658e-10       1.290918411441e-15       1.640120542554e-13       6.280527530891e-18       7.765354199150e-10       7.029606350302e-11       1.419902740144e-13 
   13       1.135663539694e-10       1.204634119684e-15       1.505447664303e-13       7.337823346097e-18       6.844650105250e-10       6.270082114649e-11       1.274545789787e-13 
   14       1.143655214011e-10       1.060389761736e-15       1.474416895294e-13       8.479024137086e-18       6.078564430794e-10       5.617357290763e-11       9.265081998236e-14 
   15       1.153965167657e-10       9.178808994547e-16       1.516967776877e-13       9.704401491417e-18       5.433746300866e-10       5.071479117026e-11       4.956179946427e-14 
   16       1.166359066059e-10       8.383573905496e-16       1.603042479022e-13       1.101417246279e-17       4.885510562319e-10       4.612029445472e-11       7.299179497714e-15 
   17       1.179595126543e-10       8.392174344264e-16       1.708041035755e-13       1.240849726933e-17       4.415214506198e-10       4.215027989953e-11      -2.781426955903e-14 
   18       1.194104957692e-10       8.931296060232e-16       1.812854101169e-13       1.388747832543e-17       4.007007018877e-10       3.858558870575e-11      -5.221963503088e-14 
   19       1.209962844164e-10       9.675357312276e-16       1.907869258221e-13       1.545116911438e-17       3.654416952481e-10       3.541557691092e-11      -6.501058771446e-14 
   20       1.226380112798e-10       1.029060292975e-15       1.986054554189e-13       1.709956595549e-17       3.343869856413e-10       3.262138845221e-11      -6.699648962223e-14 
   21       1.243503929503e-10       1.080643824140e-15       2.047929425646e-13       1.883263313067e-17       3.070491545338e-10       3.016986906211e-11      -6.032713449314e-14 
   22       1.261434410949e-10       1.140347723248e-15       2.097610596568e-13       2.065029304843e-17       2.827740895782e-10       2.798024397950e-11      -4.836562394473e-14 
   23       1.280017638216e-10       1.227387409838e-15       2.140028285562e-13       2.255245611355e-17       2.612280484017e-10       2.600902903731e-11      -3.402180436669e-14 
   24       1.298839745838e-10       1.360166973045e-15       2.180963803809e-13       2.453901084449e-17       2.419130530070e-10       2.420411385446e-11      -2.035596195686e-14 
   25       1.318051727887e-10       1.539190761062e-15       2.224685588147e-13       2.660985870027e-17       2.246023700168e-10       2.256233550816e-11      -9.280338672880e-15 
   26       1.337803697484e-10       1.757621544076e-15       2.274709364672e-13       2.876490198885e-17       2.089832606018e-10       2.108065149305e-11      -2.221821895911e-15 
   27       1.358016173506e-10       2.009036484739e-15       2.331693364883e-13       3.100407438581e-17       1.948685659469e-10       1.975047091631e-11       6.724630142525e-16 
   28       1.378453148323e-10       2.286971796548e-15       2.394628055960e-13       3.332733321326e-17       1.820150263784e-10       1.855092329197e-11      -1.272416462844e-16 
   29       1.399181288459e-10       2.590965015307e-15       2.460446624540e-13       3.573469459844e-17       1.703569787834e-10       1.746884160518e-11      -3.819023051363e-15 
   30       1.420247576478e-10       2.922313638624e-15       2.524438828246e-13       3.822621381149e-17       1.597691571289e-10       1.648035914022e-11      -9.212917668067e-15 
   31       1.441594811453e-10       3.281673386969e-15       2.581128207261e-13       4.080198517029e-17       1.500355335067e-10       1.555373597318e-11      -1.490482082176e-14 
   32       1.463259080268e-10       3.666811076501e-15       2.626898768117e-13       4.346216552741e-17       1.411059691147e-10       1.468836389422e-11      -2.001049810070e-14 
   33       1.485219467877e-10       4.073905374278e-15       2.658249513354e-13       4.620696796012e-17       1.329175324591e-10       1.388883379053e-11      -2.367906634108e-14 
   34       1.507391383498e-10       4.499662417510e-15       2.671779143038e-13       4.903665554238e-17       1.253558610269e-10       1.315462357553e-11      -2.513192593795e-14 
   35       1.529830750120e-10       4.946913240230e-15       2.666635484721e-13       5.195152298516e-17       1.183823106312e-10       1.248149774666e-11      -2.449463945692e-14 
   36       1.552584502622e-10       5.421047506447e-15       2.642940634011e-13       5.495191644309e-17       1.119409435974e-10       1.185958353181e-11      -2.226756141368e-14 
   37       1.575648287600e-10       5.927612200064e-15       2.601249135964e-13       5.803821854809e-17       1.059479414210e-10       1.127641733667e-11      -1.905159451639e-14 
   38       1.599034454473e-10       6.468845516994e-15       2.542806929825e-13       6.121076509709e-17       1.003878470291e-10       1.073066724649e-11      -1.531541270024e-14 
   39       1.622714294433e-10       7.046042791589e-15       2.469431949736e-13       6.446990612229e-17       9.524305376183e-11       1.022233344632e-11      -1.156634604184e-14 
   40       1.646591376316e-10       7.660480234425e-15       2.383488285150e-13       6.781603125740e-17       9.046453034025e-11       9.748765355786e-12      -8.421445173419e-15 
   41       1.670550516327e-10       8.313203671820e-15       2.287229486409e-13       7.124953142306e-17       8.598891096411e-11       9.305805999109e-12      -6.454849286952e-15 
   42       1.694639748046e-10       9.004320408663e-15       2.180490210874e-13       7.477066316166e-17       8.180304676578e-11       8.892253839183e-12      -5.663847877852e-15 
   43       1.718936465240e-10       9.733470992306e-15       2.062299958318e-13       7.837964414431e-17       7.789585384018e-11       8.506446843405e-12      -5.840405897170e-15 
   44       1.743494217913e-10       1.049999966348e-14       1.931495216913e-13       8.207668964304e-17       7.423894250514e-11       8.144858306161e-12      -6.711459451410e-15 
   45       1.768343604550e-10       1.130321337880e-14       1.786766708412e-13       8.586197553785e-17       7.079676391805e-11       7.803274483532e-12      -7.972392173675e-15 
   46       1.793501851520e-10       1.214329306835e-14       1.626850540248e-13       8.973551518475e-17       6.756391409802e-11       7.481092077258e-12      -9.409313869985e-15 
   47       1.818961344490e-10       1.302062460103e-14       1.450370687336e-13       9.369724498898e-17       6.453663860658e-11       7.178056674578e-12      -1.080618123311e-14 
   48       1.844683675724e-10       1.393554388445e-14       1.255772847095e-13       9.774705528442e-17       6.170158073275e-11       6.892982126003e-12      -1.190830326596e-14 
   49       1.870597062193e-10       1.488833504694e-14       1.041314133655e-13       1.018847877892e-16       5.903506737532e-11       6.623680496248e-12      -1.242030402756e-14 
   50       1.896626879797e-10       1.587922148408e-14       8.055462777245e-14       1.061102296503e-16       5.651024088494e-11       6.367660245463e-12      -1.209841157926e-14 
   51       1.922803027012e-10       1.690834035095e-14       5.489437595307e-14       1.104230995741e-16       5.412239353324e-11       6.124606704726e-12      -1.106158371568e-14 
   52       1.949177240928e-10       1.797575800357e-14       2.726997999772e-14       1.148230535332e-16       5.186927540268e-11       5.894453813486e-12      -9.561312277912e-15 
   53       1.975791529016e-10       1.908147442665e-14      -2.171590773030e-15       1.193096852072e-16       4.974351274625e-11       5.676641643050e-12      -7.897022731196e-15 
   54       2.002677145631e-10       2.022542107976e-14      -3.325442800750e-14       1.238825232781e-16       4.773226309139e-11       5.470082499532e-12      -6.418475790834e-15 
   55       2.029855478764e-10       2.140750208251e-14      -6.581599547324e-14       1.285410835174e-16       4.582113464581e-11       5.273516706562e-12      -5.444161184206e-15 
   56       2.057343312961e-10       2.262773468516e-14      -9.984933060464e-14       1.332850463977e-16       4.400787483142e-11       5.086761108867e-12      -4.987237033525e-15 
   57       2.085147081106e-10       2.388613992143e-14      -1.353939061819e-13       1.381141188654e-16       4.229147816352e-11       4.909711350440e-12      -4.965714568661e-15 
   58       2.113260140327e-10       2.518270187184e-14      -1.724955205778e-13       1.430279828571e-16       4.066804501828e-11       4.741961061300e-12      -5.279648572223e-15 
   59       2.141661822933e-10       2.651736719853e-14      -2.112067047737e-13       1.480262947288e-16       3.913060287833e-11       4.582783142767e-12      -5.810265971853e-15 
