# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.045e-06 to 1.08254 h/Mpc,
# number of wavenumbers equal to 603
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.045004358465e-06      -1.317809573288e-05      -9.883623205605e-06      -9.883623208895e-06      -1.317809369586e-05      -9.884590757770e-06       4.719076293088e-01       4.717621958455e-01 
       1.391464537791e-05      -2.334325580853e-03      -1.752359457164e-03      -1.752359560591e-03      -2.334261595087e-03      -1.752530453803e-03       4.719060879932e-01       4.717608489274e-01 
       2.680435270169e-05      -8.640503593438e-03      -6.502594253688e-03      -6.502595677336e-03      -8.639624325206e-03      -6.503223231137e-03       4.719018883125e-01       4.717571782217e-01 
       3.974868070173e-05      -1.892284122136e-02      -1.429936268310e-02      -1.429936956333e-02      -1.891860360287e-02      -1.430072585210e-02       4.718950020425e-01       4.717511570795e-01 
       5.278253249730e-05      -3.317553585018e-02      -2.521419035311e-02      -2.521421172765e-02      -3.316242188398e-02      -2.521654499858e-02       4.718853761027e-01       4.717427357943e-01 
       6.594147055741e-05      -5.139373247685e-02      -3.935257992120e-02      -3.935263193073e-02      -5.136198274662e-02      -3.935615641024e-02       4.718729319145e-01       4.717318409059e-01 
       7.926203423068e-05      -7.357049113412e-02      -5.685592284768e-02      -5.685603126689e-02      -7.350471617298e-02      -5.686091544917e-02       4.718575643746e-01       4.717183741047e-01 
       9.278206851751e-05      -9.969270435324e-02      -7.790414623413e-02      -7.790434945900e-02      -9.957033409354e-02      -7.791070232810e-02       4.718391404299e-01       4.717022107107e-01 
       1.065410684188e-04      -1.297357791270e-01      -1.027191653109e-01      -1.027195179537e-01      -1.295253098019e-01      -1.027273725113e-01       4.718174972423e-01       4.716831977093e-01 
       1.205805432315e-04      -1.636568485896e-01      -1.315692352740e-01      -1.315698125509e-01      -1.633158463653e-01      -1.315791059205e-01       4.717924399183e-01       4.716611513028e-01 
       1.349444051894e-04      -2.013862289636e-01      -1.647743219846e-01      -1.647752251236e-01      -2.008590512207e-01      -1.647857743759e-01       4.717637387873e-01       4.716358539461e-01 
       1.496793868422e-04      -2.428167905798e-01      -2.027126401736e-01      -2.027140031302e-01      -2.420319906284e-01      -2.027254758266e-01       4.717311261977e-01       4.716070508098e-01 
       1.648354914783e-04      -2.877908743382e-01      -2.458285408967e-01      -2.458305387354e-01      -2.866582656038e-01      -2.458424170132e-01       4.716942928124e-01       4.715744456286e-01 
