# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045006275385e-06       5.245475494073e+00 
       1.391464729526e-05       6.379456966714e+01 
       2.680435462459e-05       1.201006926017e+02 
       3.974868263535e-05       1.756565902695e+02 
       5.278253444688e-05       2.309447098521e+02 
       6.594147252831e-05       2.862701807856e+02 
       7.926203622843e-05       3.418731924953e+02 
       9.278207054787e-05       3.979649266147e+02 
       1.065410704878e-04       4.547433540127e+02 
       1.205805453455e-04       5.124017565017e+02 
       1.349444073551e-04       5.711341119233e+02 
       1.496793890668e-04       6.311389747688e+02 
       1.648354937695e-04       6.926225926611e+02 
       1.804664830416e-04       7.558016309562e+02 
       1.966304050770e-04       8.209057073034e+02 
       2.133901666748e-04       8.881798503789e+02 
       2.308141505652e-04       9.578869463992e+02 
       2.489768778803e-04       1.030310203334e+03 
       2.679597128444e-04       1.105755635426e+03 
       2.878516028532e-04       1.184554544809e+03 
       3.087498417071e-04       1.267065948240e+03 
       3.307608364506e-04       1.353678863492e+03 
       3.540008486669e-04       1.444814328691e+03 
       3.785966688078e-04       1.540926979624e+03 
       4.046861670188e-04       1.642505950889e+03 
       4.324186460810e-04       1.750074803459e+03 
       4.619549022459e-04       1.864190110661e+03 
       4.934668795407e-04       1.985438272995e+03 
       5.271367855093e-04       2.114430082148e+03 
       5.631555259011e-04       2.251792546370e+03 
       6.017203188691e-04       2.398157533694e+03 
       6.430313734618e-04       2.554146926662e+03 
       6.872875703758e-04       2.720354227502e+03 
       7.346811706096e-04       2.897322922106e+03 
       7.853916996729e-04       3.085522400187e+03 
       8.395793017637e-04       3.285322779400e+03 
       8.973780083381e-04       3.496970510138e+03 
       9.588894862760e-04       3.720567034039e+03 
       1.024177885242e-03       3.956052872952e+03 
       1.093266361378e-03       4.203199251591e+03 
       1.166135704522e-03       4.461608678750e+03 
       1.242725256982e-03       4.730724888032e+03 
       1.322936029293e-03       5.009851349087e+03 
       1.406635653239e-03       5.298152154975e+03 
       1.493664620476e-03       5.594736799061e+03 
       1.583843169516e-03       5.898666560757e+03 
       1.676978206988e-03       6.208962556363e+03 
       1.772869756687e-03       6.524646161418e+03 
       1.871316583820e-03       6.844760873778e+03 
       1.972120803486e-03       7.168389526712e+03 
       2.075091423418e-03       7.494666889656e+03 
       2.180046875901e-03       7.822787951386e+03 
       2.286816659621e-03       8.152012475876e+03 
       2.395242243682e-03       8.481666413228e+03 
       2.505177391770e-03       8.811141006594e+03 
       2.616488053535e-03       9.139890326981e+03 
       2.729051950414e-03       9.467427711476e+03 
       2.842757960023e-03       9.793321696436e+03 
       2.957505380516e-03       1.011719151554e+04 
       3.073203135972e-03       1.043870259277e+04 
       3.189768966852e-03       1.075756200505e+04 
       3.307128635873e-03       1.107351423759e+04 
       3.425215169135e-03       1.138633735079e+04 
       3.543968144468e-03       1.169583936613e+04 
       3.663333033292e-03       1.200185508831e+04 
       3.783260598258e-03       1.230424311590e+04 
       3.903706346306e-03       1.260288323921e+04 
       4.024630034969e-03       1.289767411260e+04 
       4.145995228756e-03       1.318853119021e+04 
       4.267768901855e-03       1.347538481401e+04 
       4.389921083203e-03       1.375817855436e+04 
       4.512424539930e-03       1.403686758639e+04 
       4.635254495362e-03       1.431141738862e+04 
       4.758388377972e-03       1.458180270642e+04 
       4.881805597937e-03       1.484800615254e+04 
       5.005487348282e-03       1.511001727011e+04 
       5.129416427826e-03       1.536783150299e+04 
       5.253577083482e-03       1.562144994883e+04 
       5.377954869706e-03       1.587087585900e+04 
       5.502536523107e-03       1.611612160139e+04 
       5.627309850510e-03       1.635720073140e+04 
       5.752263628914e-03       1.659413027063e+04 
       5.877387515983e-03       1.682693015872e+04 
       6.002671969883e-03       1.705562303857e+04 
       6.128108177401e-03       1.728023362627e+04 
       6.253687989407e-03       1.750078883741e+04 
       6.379403862854e-03       1.771731738126e+04 
       6.505248808571e-03       1.792984933317e+04 
       6.631216344231e-03       1.813841620066e+04 
       6.757300451914e-03       1.834305046105e+04 
       6.883495539778e-03       1.854378552589e+04 
       7.009796407394e-03       1.874065573440e+04 
       7.136198214356e-03       1.893369556276e+04 
       7.262696451826e-03       1.912294031639e+04 
       7.389286916703e-03       1.930842590889e+04 
       7.515965688155e-03       1.949018794074e+04 
       7.642729106265e-03       1.966826276957e+04 
       7.769573752579e-03       1.984268712515e+04 
       7.896496432374e-03       2.001349728636e+04 
       8.023494158471e-03       2.018073013142e+04 
       8.150564136441e-03       2.034442281128e+04 
       8.277703751072e-03       2.050461185255e+04 
       8.404910553980e-03       2.066133437833e+04 
       8.532182252248e-03       2.081462731064e+04 
       8.659516698009e-03       2.096452702114e+04 
       8.786911878869e-03       2.111107024857e+04 
       8.914365909119e-03       2.125429369458e+04 
       9.041877021630e-03       2.139423302633e+04 
       9.169443560407e-03       2.153092442222e+04 
       9.297063973716e-03       2.166440355631e+04 
       9.424736807749e-03       2.179470568515e+04 
       9.552460700776e-03       2.192186563122e+04 
       9.680234377738e-03       2.204591850382e+04 
       9.808056645258e-03       2.216689915242e+04 
       9.935926387015e-03       2.228484161717e+04 
       1.006384255947e-02       2.239977982889e+04 
       1.019180418789e-02       2.251174786146e+04 
       1.031981036271e-02       2.262077980867e+04 
       1.044786023609e-02       2.272690865992e+04 
       1.057595301878e-02       2.283016731398e+04 
       1.070408797716e-02       2.293058910566e+04 
       1.083226443056e-02       2.302820658955e+04 
       1.096048174868e-02       2.312305186066e+04 
       1.108873934928e-02       2.321515645796e+04 
       1.121703669597e-02       2.330455244258e+04 
       1.134537329618e-02       2.339127071065e+04 
       1.147374869929e-02       2.347534227910e+04 
       1.160216249484e-02       2.355679731258e+04 
       1.173061431091e-02       2.363566643522e+04 
       1.185910381261e-02       2.371197942019e+04 
       1.198763070064e-02       2.378576588284e+04 
       1.211619470999e-02       2.385705601700e+04 
       1.224479560873e-02       2.392587901006e+04 
       1.237343319685e-02       2.399226422607e+04 
       1.250210730518e-02       2.405624077939e+04 
       1.263081779449e-02       2.411783765997e+04 
       1.275956455449e-02       2.417708390192e+04 
       1.288834750303e-02       2.423400801806e+04 
       1.301716658533e-02       2.428863830996e+04 
       1.314602177322e-02       2.434100213765e+04 
       1.327491306450e-02       2.439112581544e+04 
       1.340384048230e-02       2.443903560875e+04 
       1.353280407455e-02       2.448475770026e+04 
       1.366180391342e-02       2.452831896555e+04 
       1.379084009485e-02       2.456974603952e+04 
       1.391991273813e-02       2.460906524663e+04 
       1.404902198549e-02       2.464630285032e+04 
       1.417816800173e-02       2.468148466213e+04 
       1.430735097392e-02       2.471463630263e+04 
       1.443657111110e-02       2.474578312844e+04 
       1.456582864399e-02       2.477495031295e+04 
       1.469512382481e-02       2.480216273578e+04 
       1.482445692704e-02       2.482744519586e+04 
       1.495382824527e-02       2.485082216727e+04 
       1.508323809505e-02       2.487231796227e+04 
       1.521268681276e-02       2.489195681529e+04 
       1.534217475552e-02       2.490976252251e+04 
       1.547170230114e-02       2.492575897860e+04 
       1.560126984805e-02       2.493996969568e+04 
       1.573087781525e-02       2.495241798774e+04 
       1.586052664237e-02       2.496312717738e+04 
       1.599021678963e-02       2.497212019698e+04 
       1.611994873790e-02       2.497941992867e+04 
       1.624972298876e-02       2.498504902840e+04 
       1.637954006455e-02       2.498903002386e+04 
       1.650940050851e-02       2.499138514541e+04 
       1.663930488485e-02       2.499213669108e+04 
       1.676925377890e-02       2.499130642656e+04 
       1.689924779727e-02       2.498891639807e+04 
       1.702928756797e-02       2.498498813984e+04 
       1.715937374068e-02       2.497954314980e+04 
       1.728950698685e-02       2.497260283361e+04 
       1.741968800000e-02       2.496418812511e+04 
