# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045012751734e-06       5.245321622403e+00 
       1.391465377303e-05       6.379234545424e+01 
       2.680436112113e-05       1.200964794027e+02 
       3.974868916811e-05       1.756504149240e+02 
       5.278254103357e-05       2.309365820105e+02 
       6.594147918704e-05       2.862600992772e+02 
       7.926204297788e-05       3.418611476508e+02 
       9.278207740747e-05       3.979509013020e+02 
       1.065410774779e-04       4.547273241094e+02 
       1.205805524876e-04       5.123836910645e+02 
       1.349444146719e-04       5.711139731669e+02 
       1.496793965826e-04       6.311167179063e+02 
       1.648355015103e-04       6.925981656352e+02 
       1.804664910357e-04       7.557749740736e+02 
       1.966304133547e-04       8.208767527802e+02 
       2.133901752690e-04       8.881485217990e+02 
       2.308141595117e-04       9.578531580872e+02 
       2.489768872184e-04       1.030273859641e+03 
       2.679597226169e-04       1.105716629926e+03 
       2.878516131069e-04       1.184512759414e+03 
       3.087498524931e-04       1.267021252221e+03 
       3.307608478249e-04       1.353631112427e+03 
       3.540008606906e-04       1.444763363335e+03 
       3.785966815474e-04       1.540872624731e+03 
       4.046861805465e-04       1.642448013995e+03 
       4.324186604750e-04       1.750013073665e+03 
       4.619549175898e-04       1.864124357474e+03 
       4.934668959238e-04       1.985368245267e+03 
       5.271368030256e-04       2.114355507211e+03 
       5.631555446485e-04       2.251713129455e+03 
       6.017203389478e-04       2.398072957742e+03 
       6.430313949728e-04       2.554056852660e+03 
       6.872875934178e-04       2.720258295457e+03 
       7.346811952768e-04       2.897220752787e+03 
       7.853917260512e-04       3.085413597711e+03 
       8.395793299278e-04       3.285206934714e+03 
       8.973780383477e-04       3.496847205368e+03 
       9.588895181732e-04       3.720435847599e+03 
       1.024177919049e-03       3.955913385228e+03 
       1.093266397095e-03       4.203051050929e+03 
       1.166135742130e-03       4.461451367425e+03 
       1.242725296440e-03       4.730558087863e+03 
       1.322936070543e-03       5.009674706403e+03 
       1.406635696206e-03       5.297965345523e+03 
       1.493664665074e-03       5.594539530013e+03 
       1.583843215651e-03       5.898458572380e+03 
       1.676978254561e-03       6.208743623483e+03 
       1.772869805597e-03       6.524416093431e+03 
       1.871316633964e-03       6.844519513872e+03 
       1.972120854768e-03       7.168136750459e+03 
       2.075091475744e-03       7.494402603167e+03 
       2.180046929182e-03       7.822512089175e+03 
       2.286816713773e-03       8.151724998588e+03 
       2.395242298629e-03       8.481367305331e+03 
       2.505177447443e-03       8.810830274090e+03 
       2.616488109869e-03       9.139567995189e+03 
       2.729052007349e-03       9.467093822917e+03 
       2.842758017506e-03       9.792976308877e+03 
       2.957505438499e-03       1.011683470019e+04 
       3.073203194412e-03       1.043833443266e+04 
       3.189769025710e-03       1.075718259358e+04 
       3.307128695113e-03       1.107312367720e+04 
