# Matter power spectrum P(k) at redshift z=0
# for k=1.04502e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045022383693e-06       5.245247454149e+00 
       1.391466340710e-05       6.379091867352e+01 
       2.680437078313e-05       1.200937548653e+02 
       3.974869888398e-05       1.756464104278e+02 
       5.278255082964e-05       2.309313040159e+02 
       6.594148909025e-05       2.862535471507e+02 
       7.926205301602e-05       3.418533152034e+02 
       9.278208760943e-05       3.979417774747e+02 
       1.065410878740e-04       4.547168932866e+02 
       1.205805631096e-04       5.123719331883e+02 
       1.349444255538e-04       5.711008637251e+02 
       1.496794077605e-04       6.311022278316e+02 
       1.648355130230e-04       6.925822611319e+02 
       1.804665029249e-04       7.557576163816e+02 
       1.966304256655e-04       8.208578978808e+02 
       2.133901880506e-04       8.881281200651e+02 
       2.308141728175e-04       9.578311538765e+02 
       2.489769011066e-04       1.030250190834e+03 
       2.679597371510e-04       1.105691227406e+03 
       2.878516283567e-04       1.184485546489e+03 
       3.087498685346e-04       1.266992143997e+03 
       3.307608647413e-04       1.353600015118e+03 
       3.540008785729e-04       1.444730173534e+03 
       3.785967004944e-04       1.540837228641e+03 
       4.046862006658e-04       1.642410286635e+03 
       4.324186818825e-04       1.749972878083e+03 
       4.619549404101e-04       1.864081543979e+03 
       4.934669202896e-04       1.985322650736e+03 
       5.271368290768e-04       2.114306954515e+03 
       5.631555725306e-04       2.251661427059e+03 
       6.017203688100e-04       2.398017899566e+03 
       6.430314269650e-04       2.553998218271e+03 
       6.872876276871e-04       2.720195850682e+03 
       7.346812319631e-04       2.897154250821e+03 
       7.853917652825e-04       3.085342780788e+03 
       8.395793718149e-04       3.285131536374e+03 
       8.973780829796e-04       3.496766953304e+03 
       9.588895656125e-04       3.720350467024e+03 
       1.024177969329e-03       3.955822602625e+03 
       1.093266450217e-03       4.202954597993e+03 
       1.166135798064e-03       4.461348984979e+03 
       1.242725355125e-03       4.730449529513e+03 
       1.322936131892e-03       5.009559741717e+03 
       1.406635760109e-03       5.297843763153e+03 
       1.493664731403e-03       5.594411138983e+03 
       1.583843284267e-03       5.898323203111e+03 
       1.676978325314e-03       6.208601128791e+03 
       1.772869878337e-03       6.524266348606e+03 
       1.871316708543e-03       6.844362416254e+03 
       1.972120931038e-03       7.167972218569e+03 
       2.075091553566e-03       7.494230575499e+03 
       2.180047008424e-03       7.822332522779e+03 
       2.286816794312e-03       8.151537867549e+03 
       2.395242380351e-03       8.481172599248e+03 
       2.505177530243e-03       8.810627996592e+03 
       2.616488193650e-03       9.139358162503e+03 
       2.729052092025e-03       9.466876462508e+03 
       2.842758102999e-03       9.792751458164e+03 
       2.957505524736e-03       1.011660240538e+04 
       3.073203281328e-03       1.043809474767e+04 
       3.189769113247e-03       1.075693557911e+04 
       3.307128783218e-03       1.107286939983e+04 
       3.425215317350e-03       1.138567428323e+04 
       3.543968293483e-03       1.169515826199e+04 
       3.663333183040e-03       1.200115615044e+04 
       3.783260748681e-03       1.230352655543e+04 
       3.903706497352e-03       1.260214927435e+04 
       4.024630186590e-03       1.289692296751e+04 
       4.145995380908e-03       1.318776309398e+04 
       4.267769054499e-03       1.347459999980e+04 
       4.389921236303e-03       1.375737725867e+04 
       4.512424693453e-03       1.403605004831e+04 
       4.635254649280e-03       1.431058384929e+04 
       4.758388532257e-03       1.458095340839e+04 
       4.881805752565e-03       1.484714133956e+04 
       5.005487503230e-03       1.510913718639e+04 
       5.129416583072e-03       1.536693639298e+04 
       5.253577239010e-03       1.562054005690e+04 
       5.377955025496e-03       1.586995142932e+04 
       5.502536679144e-03       1.611518287744e+04 
       5.627310006781e-03       1.635624795589e+04 
       5.752263785404e-03       1.659316368529e+04 
       5.877387672679e-03       1.682595000415e+04 
       6.002672126775e-03       1.705462955411e+04 
       6.128108334477e-03       1.727922704984e+04 
       6.253688146659e-03       1.749976940537e+04 
       6.379404020271e-03       1.771628532832e+04 
       6.505248966145e-03       1.792880489228e+04 
       6.631216501955e-03       1.813735960295e+04 
       6.757300609780e-03       1.834198193576e+04 
       6.883495697780e-03       1.854270530030e+04 
       7.009796565526e-03       1.873956403376e+04 
       7.136198372611e-03       1.893259261032e+04 
       7.262696610198e-03       1.912182633335e+04 
       7.389287075188e-03       1.930730111432e+04 
       7.515965846749e-03       1.948905255166e+04 
       7.642729264963e-03       1.966711700085e+04 
       7.769573911376e-03       1.984153118952e+04 
       7.896496591266e-03       2.001233139446e+04 
       8.023494317456e-03       2.017955449170e+04 
       8.150564295515e-03       2.034323763006e+04 
       8.277703910231e-03       2.050341733400e+04 
       8.404910713222e-03       2.066013072445e+04 
       8.532182411570e-03       2.081341472129e+04 
       8.659516857408e-03       2.096330569404e+04 
       8.786912038343e-03       2.110984037932e+04 
       8.914366068665e-03       2.125305547664e+04 
       9.041877181247e-03       2.139298665106e+04 
       9.169443720092e-03       2.152967007890e+04 
       9.297064133467e-03       2.166314143213e+04 
       9.424736967565e-03       2.179343596524e+04 
       9.552460860655e-03       2.192058849871e+04 
       9.680234537679e-03       2.204463413976e+04 
       9.808056805260e-03       2.216560773585e+04 
       9.935926547075e-03       2.228354332515e+04 
       1.006384271958e-02       2.239847483648e+04 
       1.019180434807e-02       2.251043634176e+04 
       1.031981052294e-02       2.261946193278e+04 
       1.044786039638e-02       2.272558459703e+04 
       1.057595317911e-02       2.282883723136e+04 
       1.070408813755e-02       2.292925316861e+04 
       1.083226459100e-02       2.302686496152e+04 
       1.096048190917e-02       2.312170470318e+04 
       1.108873950982e-02       2.321380393077e+04 
       1.121703685656e-02       2.330319470352e+04 
       1.134537345682e-02       2.338990791577e+04 
       1.147374885998e-02       2.347397458264e+04 
       1.160216265558e-02       2.355542486704e+04 
       1.173061447169e-02       2.363428939131e+04 
       1.185910397344e-02       2.371059792687e+04 
       1.198763086151e-02       2.378438008735e+04 
       1.211619487092e-02       2.385566606483e+04 
       1.224479576970e-02       2.392448504499e+04 
       1.237343335786e-02       2.399086639017e+04 
       1.250210746624e-02       2.405483921304e+04 
       1.263081795560e-02       2.411643250183e+04 
       1.275956471564e-02       2.417567528899e+04 
       1.288834766423e-02       2.423259608566e+04 
       1.301716674657e-02       2.428722319176e+04 
       1.314602193451e-02       2.433958396575e+04 
       1.327491322583e-02       2.438970472042e+04 
       1.340384064368e-02       2.443761171962e+04 
       1.353280423598e-02       2.448333114453e+04 
       1.366180407489e-02       2.452688986913e+04 
       1.379084025637e-02       2.456831452681e+04 
       1.391991289969e-02       2.460763144046e+04 
       1.404902214709e-02       2.464486687202e+04 
       1.417816816338e-02       2.468004663149e+04 
       1.430735113562e-02       2.471319633800e+04 
