# Matter power spectrum P(k) at redshift z=0
# for k=1.04502e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045023533591e-06       5.245235110405e+00 
       1.391466455725e-05       6.379070590557e+01 
       2.680437193661e-05       1.200933497136e+02 
       3.974870004390e-05       1.756458155155e+02 
       5.278255199913e-05       2.309305202915e+02 
       6.594149027252e-05       2.862525745126e+02 
       7.926205421441e-05       3.418521527265e+02 
       9.278208882737e-05       3.979404235116e+02 
       1.065410891151e-04       4.547153455141e+02 
       1.205805643777e-04       5.123701886236e+02 
       1.349444268529e-04       5.710989187242e+02 
       1.496794090949e-04       6.311000780741e+02 
       1.648355143974e-04       6.925799015950e+02 
       1.804665043442e-04       7.557550413048e+02 
       1.966304271353e-04       8.208551007225e+02 
       2.133901895765e-04       8.881250934499e+02 
       2.308141744060e-04       9.578278895350e+02 
       2.489769027646e-04       1.030246679533e+03 
       2.679597388862e-04       1.105687458873e+03 
       2.878516301772e-04       1.184481509326e+03 
       3.087498704497e-04       1.266987825583e+03 
       3.307608667609e-04       1.353595401511e+03 
       3.540008807077e-04       1.444725249361e+03 
       3.785967027564e-04       1.540831976982e+03 
       4.046862030677e-04       1.642404688909e+03 
       4.324186844382e-04       1.749966913925e+03 
       4.619549431345e-04       1.864075191131e+03 
       4.934669231984e-04       1.985315884944e+03 
       5.271368321868e-04       2.114299749441e+03 
       5.631555758592e-04       2.251653754227e+03 
       6.017203723751e-04       2.398009728343e+03 
       6.430314307843e-04       2.553989515896e+03 
       6.872876317782e-04       2.720186582361e+03 
       7.346812363428e-04       2.897144379895e+03 
       7.853917699661e-04       3.085332268985e+03 
       8.395793768155e-04       3.285120344149e+03 
       8.973780883079e-04       3.496755040263e+03 
       9.588895712759e-04       3.720337792421e+03 
       1.024177975331e-03       3.955809125918e+03 
       1.093266456559e-03       4.202940279424e+03 
       1.166135804741e-03       4.461333786147e+03 
       1.242725362131e-03       4.730433413909e+03 
       1.322936139216e-03       5.009542675192e+03 
       1.406635767738e-03       5.297825714379e+03 
       1.493664739322e-03       5.594392079642e+03 
       1.583843292458e-03       5.898303108051e+03 
       1.676978333761e-03       6.208579976180e+03 
       1.772869887021e-03       6.524244119947e+03 
       1.871316717446e-03       6.844339096321e+03 
       1.972120940143e-03       7.167947795285e+03 
       2.075091562856e-03       7.494205039754e+03 
       2.180047017884e-03       7.822305868216e+03 
       2.286816803927e-03       8.151510090342e+03 
       2.395242390107e-03       8.481143697869e+03 
       2.505177540128e-03       8.810597971592e+03 
       2.616488203653e-03       9.139327016301e+03 
       2.729052102134e-03       9.466844199187e+03 
       2.842758113205e-03       9.792718083285e+03 
       2.957505535031e-03       1.011656792580e+04 
       3.073203291704e-03       1.043805917141e+04 
       3.189769123697e-03       1.075689891518e+04 
       3.307128793736e-03       1.107283165812e+04 
       3.425215327931e-03       1.138563547439e+04 
       3.543968304120e-03       1.169511839733e+04 
       3.663333193730e-03       1.200111524182e+04 
       3.783260759419e-03       1.230348461520e+04 
       3.903706508135e-03       1.260210631527e+04 
       4.024630197414e-03       1.289687900268e+04 
       4.145995391769e-03       1.318771813680e+04 
       4.267769065395e-03       1.347455406393e+04 
       4.389921247232e-03       1.375733035795e+04 
       4.512424704413e-03       1.403600219675e+04 
       4.635254660268e-03       1.431053506102e+04 
       4.758388543270e-03       1.458090369759e+04 
       4.881805763603e-03       1.484709072051e+04 
       5.005487514291e-03       1.510908567343e+04 
       5.129416594155e-03       1.536688400046e+04 
       5.253577250112e-03       1.556427335764e+04 
       5.377955036617e-03       1.581145030728e+04 
       5.502536690283e-03       1.605441980231e+04 
       5.627310017936e-03       1.629319649818e+04 
       5.752263796575e-03       1.652779849820e+04 
       5.877387683865e-03       1.675824680607e+04 
       6.002672137975e-03       1.698456511056e+04 
       6.128108345690e-03       1.720677915690e+04 
       6.253688157884e-03       1.742491687157e+04 
       6.379404031508e-03       1.763900795723e+04 
       6.505248977394e-03       1.784908346625e+04 
       6.631216513214e-03       1.805517586583e+04 
       6.757300621050e-03       1.825731857716e+04 
       6.883495709059e-03       1.845554593952e+04 
       7.009796576814e-03       1.864989320333e+04 
       7.136198383908e-03       1.884039574300e+04 
       7.262696621504e-03       1.902708974551e+04 
       7.389287086502e-03       1.921001199010e+04 
