# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045005889480e-06       5.245476976861e+00 
       1.391464690927e-05       6.379460872660e+01 
       2.680435423748e-05       1.201007676766e+02 
       3.974868224608e-05       1.756567008595e+02 
       5.278253405440e-05       2.309448557743e+02 
       6.594147213154e-05       2.862703620546e+02 
       7.926203582625e-05       3.418734092802e+02 
       9.278207013913e-05       3.979651792197e+02 
       1.065410700713e-04       4.547436428683e+02 
       1.205805449199e-04       5.124020821615e+02 
       1.349444069191e-04       5.711344750643e+02 
       1.496793886189e-04       6.311393761940e+02 
       1.648354933082e-04       6.926230333045e+02 
       1.804664825653e-04       7.558021118890e+02 
       1.966304045838e-04       8.209062297423e+02 
       2.133901661627e-04       8.881804156957e+02 
       2.308141500321e-04       9.578875561321e+02 
       2.489768773239e-04       1.030310859200e+03 
       2.679597122621e-04       1.105756339335e+03 
       2.878516022423e-04       1.184555298882e+03 
       3.087498410644e-04       1.267066754823e+03 
       3.307608357728e-04       1.353679725177e+03 
       3.540008479505e-04       1.444815248335e+03 
       3.785966680487e-04       1.540927960373e+03 
       4.046861662127e-04       1.642506996198e+03 
       4.324186452233e-04       1.750075917112e+03 
       4.619549013316e-04       1.864191296796e+03 
       4.934668785644e-04       1.985439536121e+03 
       5.271367844656e-04       2.114431427163e+03 
       5.631555247840e-04       2.251793978571e+03 
       6.017203176727e-04       2.398159058781e+03 
       6.430313721801e-04       2.554148550736e+03 
       6.872875690028e-04       2.720355957046e+03 
       7.346811691398e-04       2.897324763956e+03 
       7.853916981011e-04       3.085524361485e+03 
       8.395793000855e-04       3.285324867534e+03 
       8.973780065499e-04       3.496972732661e+03 
       9.588894843753e-04       3.720569398573e+03 
       1.024177883228e-03       3.956055387084e+03 
       1.093266359249e-03       4.203201922763e+03 
       1.166135702281e-03       4.461611514148e+03 
       1.242725254631e-03       4.730727894486e+03 
       1.322936026835e-03       5.009854532981e+03 
       1.406635650679e-03       5.298155522165e+03 
       1.493664617818e-03       5.594740354840e+03 
       1.583843166767e-03       5.898670309831e+03 
       1.676978204153e-03       6.208966502820e+03 
       1.772869753773e-03       6.524650308726e+03 
       1.871316580832e-03       6.844765224797e+03 
       1.972120800430e-03       7.168394083712e+03 
       2.075091420300e-03       7.494671654352e+03 
       2.180046872726e-03       7.822792924977e+03 
       2.286816656394e-03       8.152017659085e+03 
       2.395242240407e-03       8.481671806350e+03 
       2.505177388453e-03       8.811146609532e+03 
       2.616488050179e-03       9.139896139293e+03 
       2.729051947021e-03       9.467433732403e+03 
       2.842757956598e-03       9.793327924947e+03 
       2.957505377060e-03       1.011719795036e+04 
       3.073203132489e-03       1.043870923240e+04 
       3.189768963345e-03       1.075756884782e+04 
       3.307128632343e-03       1.107352128165e+04 
       3.425215165584e-03       1.138634459416e+04 
       3.543968140899e-03       1.169584680670e+04 
       3.663333029704e-03       1.200186272386e+04 
       3.783260594654e-03       1.230425094414e+04 
       3.903706342687e-03       1.260289125775e+04 
       4.024630031337e-03       1.289768231899e+04 
       4.145995225111e-03       1.318853958197e+04 
       4.267768898198e-03       1.347539338856e+04 
       4.389921079535e-03       1.375818730914e+04 
       4.512424536252e-03       1.403687651878e+04 
       4.635254491675e-03       1.431142649599e+04 
       4.758388374275e-03       1.458181198612e+04 
       4.881805594233e-03       1.484801560192e+04 
       5.005487344570e-03       1.511002688646e+04 
       5.129416424106e-03       1.536784128365e+04 
       5.253577079756e-03       1.556524224340e+04 
       5.377954865974e-03       1.581243457258e+04 
       5.502536519368e-03       1.605541918463e+04 
