# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045005198870e-06       5.245484158308e+00 
       1.391464621850e-05       6.379473369425e+01 
       2.680435354471e-05       1.201010057003e+02 
       3.974868154945e-05       1.756570503968e+02 
       5.278253335202e-05       2.309453162670e+02 
       6.594147142148e-05       2.862709335616e+02 
       7.926203510652e-05       3.418740923442e+02 
       9.278206940764e-05       3.979659748077e+02 
       1.065410693259e-04       4.547445523444e+02 
       1.205805441583e-04       5.124031072771e+02 
       1.349444061389e-04       5.711356179591e+02 
       1.496793878175e-04       6.311406394050e+02 
       1.648354924827e-04       6.926244197813e+02 
       1.804664817128e-04       7.558036250142e+02 
       1.966304037011e-04       8.209078733573e+02 
       2.133901652463e-04       8.881821941311e+02 
       2.308141490780e-04       9.578894742436e+02 
       2.489768763281e-04       1.030312922409e+03 
       2.679597112200e-04       1.105758553673e+03 
       2.878516011488e-04       1.184557671040e+03 
       3.087498399142e-04       1.267069292212e+03 
       3.307608345599e-04       1.353682435981e+03 
       3.540008466683e-04       1.444818141580e+03 
       3.785966666901e-04       1.540931045990e+03 
       4.046861647701e-04       1.642510285094e+03 
       4.324186436884e-04       1.750079421241e+03 
       4.619548996953e-04       1.864195029222e+03 
       4.934668768174e-04       1.985443511079e+03 
       5.271367825977e-04       2.114435660111e+03 
       5.631555227849e-04       2.251798486222e+03 
       6.017203155315e-04       2.398163859115e+03 
       6.430313698862e-04       2.554153662981e+03 
       6.872875665456e-04       2.720361401627e+03 
       7.346811665094e-04       2.897330562395e+03 
       7.853916952882e-04       3.085530536254e+03 
       8.395792970821e-04       3.285331441859e+03 
       8.973780033498e-04       3.496979730270e+03 
       9.588894809739e-04       3.720576843411e+03 
       1.024177879623e-03       3.956063302981e+03 
       1.093266355440e-03       4.203210333096e+03 
       1.166135698271e-03       4.461620441500e+03 
       1.242725250423e-03       4.730737360328e+03 
       1.322936022436e-03       5.009864557398e+03 
       1.406635646097e-03       5.298166123579e+03 
       1.493664613062e-03       5.594751549894e+03 
       1.583843161847e-03       5.898682113300e+03 
       1.676978199080e-03       6.208978927525e+03 
       1.772869748557e-03       6.524663365523e+03 
       1.871316575484e-03       6.844778922621e+03 
       1.972120794961e-03       7.168408429651e+03 
       2.075091414720e-03       7.494686653756e+03 
       2.180046867045e-03       7.822808581580e+03 
       2.286816650619e-03       8.152033975137e+03 
       2.395242234548e-03       8.481688782751e+03 
       2.505177382516e-03       8.811164245959e+03 
       2.616488044171e-03       9.139914434326e+03 
       2.729051940950e-03       9.467452683642e+03 
       2.842757950468e-03       9.793347529125e+03 
       2.957505370877e-03       1.011721820345e+04 
       3.073203126257e-03       1.043873012968e+04 
       3.189768957068e-03       1.075759038401e+04 
       3.307128626026e-03       1.107354345094e+04 
       3.425215159229e-03       1.138636739029e+04 
       3.543968134510e-03       1.169587022303e+04 
       3.663333023284e-03       1.200188675342e+04 
       3.783260588205e-03       1.230427557968e+04 
       3.903706336211e-03       1.260291649177e+04 
       4.024630024836e-03       1.289770814379e+04 
       4.145995218587e-03       1.318856598966e+04 
       4.267768891653e-03       1.347542037114e+04 
       4.389921072971e-03       1.375821485847e+04 
       4.512424529670e-03       1.403690462662e+04 
       4.635254485076e-03       1.431145515406e+04 
       4.758388367661e-03       1.458184118608e+04 
       4.881805587603e-03       1.484804533538e+04 
       5.005487337927e-03       1.511005714502e+04 
       5.129416417450e-03       1.536787205887e+04 
       5.253577073088e-03       1.556527338762e+04 
       5.377954859294e-03       1.581246621110e+04 
       5.502536512678e-03       1.605545130904e+04 
       5.627309840066e-03       1.629424333785e+04 
       5.752263618456e-03       1.652886040204e+04 
       5.877387505511e-03       1.675932350662e+04 
       6.002671959398e-03       1.698565634186e+04 
       6.128108166903e-03       1.720788465462e+04 
       6.253687978898e-03       1.742603637316e+04 
       6.379403852333e-03       1.764014120202e+04 
       6.505248798040e-03       1.785023019554e+04 
       6.631216333690e-03       1.805633582303e+04 
       6.757300441363e-03       1.825849150780e+04 
       6.883495529219e-03       1.845673159139e+04 
       7.009796396826e-03       1.865109132647e+04 
