# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       0.000000000000e+00       1.416478549816e+04       1.165805161509e+00       4.451819950702e-07       1.000000000000e+00       4.451819950702e-07       3.634993751989e-01       9.388615283839e-14       0.000000000000e+00 
       8.418260518259e-03       1.412750248774e+04       1.165805159146e+00       4.527088589394e-07       9.999832618126e-01       4.527012814137e-07       3.695378081554e-01       9.578019262117e-14       2.515754841879e-08 
       2.178442330363e-02       1.406860908875e+04       1.165805155228e+00       4.647893246783e-07       9.999562441814e-01       4.647689874409e-07       3.792416605009e-01       9.827022378667e-14       6.621016190982e-08 
       3.538054432019e-02       1.400908816118e+04       1.165805151021e+00       4.772408246074e-07       9.999282093249e-01       4.772065631664e-07       3.892322738833e-01       1.008324535858e-13       1.093754090760e-07 
       4.921241609663e-02       1.394893699313e+04       1.165805146500e+00       4.900771212329e-07       9.998991178960e-01       4.900276812218e-07       3.995195857240e-01       1.034693107146e-13       1.547660252285e-07 
       6.328600822044e-02       1.388815322329e+04       1.165805141637e+00       5.033125760842e-07       9.998689290519e-01       5.032466064276e-07       4.101139232791e-01       1.061833151047e-13       2.025009395385e-07 
       7.760747127859e-02       1.382673482048e+04       1.165805136398e+00       5.169621770904e-07       9.998376003905e-01       5.168782226347e-07       4.210260184304e-01       1.089770811093e-13       2.527056157746e-07 
       9.218314075860e-02       1.376468010520e+04       1.165805130750e+00       5.310415671245e-07       9.998050878964e-01       5.309380606956e-07       4.322670228562e-01       1.118533207354e-13       3.055124236041e-07 
       1.070195408271e-01       1.370198777451e+04       1.165805124652e+00       5.455670736814e-07       9.997713458893e-01       5.454423275273e-07       4.438485235158e-01       1.148148469104e-13       3.610610142141e-07 
       1.221233879619e-01       1.363865692767e+04       1.165805118061e+00       5.605557397107e-07       9.997363269719e-01       5.604079362814e-07       4.557825584196e-01       1.178645767724e-13       4.194987182862e-07 
       1.375015944146e-01       1.357468709260e+04       1.165805110928e+00       5.760253556238e-07       9.996999819772e-01       5.758525376355e-07       4.680816326533e-01       1.210055349743e-13       4.809809628588e-07 
       1.531612714813e-01       1.351007825301e+04       1.165805103200e+00       5.919944924924e-07       9.996622599156e-01       5.917945522225e-07       4.807587346225e-01       1.242408569894e-13       5.456717089739e-07 
       1.691097325556e-01       1.344483087596e+04       1.165805094816e+00       6.084825364560e-07       9.996231079227e-01       6.082532042088e-07       4.938273524783e-01       1.275737924039e-13       6.137439105149e-07 
       1.853544959410e-01       1.337894594002e+04       1.165805085709e+00       6.255097243504e-07       9.995824712064e-01       6.252485560298e-07       5.073014906791e-01       1.310077081819e-13       6.853799950537e-07 
       2.019032873986e-01       1.331242496368e+04       1.165805075802e+00       6.430971805706e-07       9.995402929945e-01       6.428015442915e-07       5.211956866396e-01       1.345460918875e-13       7.607723674141e-07 
       2.187640424040e-01       1.324527003391e+04       1.165805065011e+00       6.612669551764e-07       9.994965144830e-01       6.609340168416e-07       5.355250274137e-01       1.381925548439e-13       8.401239366849e-07 
       2.359449080919e-01       1.317748383487e+04       1.165805053241e+00       6.800420632487e-07       9.994510747852e-01       6.796687710131e-07       5.503051663503e-01       1.419508352124e-13       9.236486674101e-07 
       2.534542448644e-01       1.310906967629e+04       1.165805040384e+00       6.994465255023e-07       9.994039108808e-01       6.990295930390e-07       5.655523396599e-01       1.458248009686e-13       1.011572155681e-06 
       2.713006276416e-01       1.304003152167e+04       1.165805026319e+00       7.195054101585e-07       9.993549575670e-01       7.190412986382e-07       5.812833828200e-01       1.498184527547e-13       1.104132230854e-06 
       2.894928467356e-01       1.297037401579e+04       1.165805010911e+00       7.402448760793e-07       9.993041474107e-01       7.397297747655e-07       5.975157467464e-01       1.539359265835e-13       1.201579583627e-06 
       3.080399083288e-01       1.290010251150e+04       1.165804994004e+00       7.616922171655e-07       9.992514107011e-01       7.611220225226e-07       6.142675136505e-01       1.581814963687e-13       1.304178421184e-06 
       3.269510345422e-01       1.282922309543e+04       1.165804975424e+00       7.838759080172e-07       9.991966754051e-01       7.832462012210e-07       6.315574124980e-01       1.625595762545e-13       1.412207150174e-06 
       3.462356630821e-01       1.275774261240e+04       1.165804954974e+00       8.068256508578e-07       9.991398671241e-01       8.061316735904e-07       6.494048339806e-01       1.670747227180e-13       1.525959088236e-06 
       3.659034464546e-01       1.268566868829e+04       1.165804932427e+00       8.305724237206e-07       9.990809090519e-01       8.298090521242e-07       6.678298449085e-01       1.717316364128e-13       1.645743204858e-06 
       3.859642507458e-01       1.261300975102e+04       1.165804907528e+00       8.551485298993e-07       9.990197219360e-01       8.543102465539e-07       6.868532019262e-01       1.765351637254e-13       1.771884892338e-06 
