# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       0.000000000000e+00       1.416480108449e+04       1.165805161509e+00       4.451819950702e-07       1.000000000000e+00       4.451819950702e-07       3.634995701311e-01       9.388620216491e-14       0.000000000000e+00 
       8.418237986690e-03       1.412751817527e+04       1.165805159146e+00       4.527088387092e-07       9.999832618585e-01       4.527012612046e-07       3.695379901340e-01       9.578024317513e-14       2.515747927247e-08 
       2.178443636400e-02       1.406862462829e+04       1.165805155228e+00       4.647893365601e-07       9.999562441595e-01       4.647689993121e-07       3.792418738299e-01       9.827028242080e-14       6.621019541848e-08 
       3.538059148726e-02       1.400910356880e+04       1.165805151021e+00       4.772408680891e-07       9.999282092393e-01       4.772066066041e-07       3.892325182906e-01       1.008325202039e-13       1.093755421186e-07 
       4.921249555619e-02       1.394895228589e+04       1.165805146500e+00       4.900771954625e-07       9.998991177513e-01       4.900277553730e-07       3.995198606703e-01       1.034693851487e-13       1.547662532759e-07 
       6.328611780421e-02       1.388816841929e+04       1.165805141637e+00       5.033126798284e-07       9.998689288537e-01       5.032467100585e-07       4.101142279267e-01       1.061833971068e-13       2.025012564548e-07 
       7.760760843892e-02       1.382674993881e+04       1.165805136398e+00       5.169623086907e-07       9.998376001454e-01       5.168783540869e-07       4.210263516091e-01       1.089771703426e-13       2.527060136001e-07 
       9.218330254315e-02       1.376469516595e+04       1.165805130749e+00       5.310417244503e-07       9.998050876122e-01       5.309382178398e-07       4.322673830280e-01       1.118534167654e-13       3.055128923209e-07 
       1.070197238539e-01       1.370200279870e+04       1.165805124652e+00       5.455672540818e-07       9.997713455749e-01       5.454425077150e-07       4.438489087380e-01       1.148149491947e-13       3.610615414954e-07 
       1.221235883952e-01       1.363867193726e+04       1.165805118061e+00       5.605559399633e-07       9.997363266374e-01       5.604081362937e-07       4.557829663065e-01       1.178646846514e-13       4.194992892293e-07 
       1.375018079419e-01       1.357470211044e+04       1.165805110928e+00       5.760255718821e-07       9.996999816339e-01       5.758527536312e-07       4.680820603371e-01       1.210056476611e-13       4.809815597035e-07 
       1.531614932915e-01       1.351009330272e+04       1.165805103200e+00       5.919947202322e-07       9.996622595766e-01       5.917947796848e-07       4.807591787136e-01       1.242409735596e-13       5.456723108082e-07 
       1.691099573199e-01       1.344484598189e+04       1.165805094816e+00       6.084827704206e-07       9.996231076025e-01       6.082534378903e-07       4.938278090253e-01       1.275739117853e-13       6.137444929694e-07 
       1.853547177964e-01       1.337896112714e+04       1.165805085709e+00       6.255099584959e-07       9.995824709208e-01       6.252487898989e-07       5.073019551292e-01       1.310078291452e-13       6.853805299901e-07 
       2.019034999345e-01       1.331244025743e+04       1.165805075802e+00       6.430974080119e-07       9.995402927612e-01       6.428017714782e-07       5.211961538006e-01       1.345462130362e-13       7.607728226093e-07 
       2.187642386531e-01       1.324528546012e+04       1.165805065011e+00       6.612671681348e-07       9.994965143213e-01       6.609342295859e-07       5.355254914169e-01       1.381926746056e-13       8.401242755180e-07 
       2.359450805259e-01       1.317749941951e+04       1.165805053241e+00       6.800422530021e-07       9.994510747161e-01       6.796689606152e-07       5.503056206171e-01       1.419509518304e-13       9.236488485573e-07 
       2.534543853954e-01       1.310908544538e+04       1.165805040384e+00       6.994466823392e-07       9.994039109270e-01       6.990297498147e-07       5.655527768713e-01       1.458249124952e-13       1.011572132826e-06 
       2.713007276299e-01       1.304004750101e+04       1.165805026319e+00       7.195055233372e-07       9.993549577530e-01       7.190414118777e-07       5.812837948910e-01       1.498185570451e-13       1.104131952423e-06 
       2.894928970049e-01       1.297039023073e+04       1.165805010910e+00       7.402449337943e-07       9.993041477626e-01       7.397298327009e-07       5.975161248067e-01       1.539360212918e-13       1.201578992557e-06 
       3.080398991894e-01       1.290011898672e+04       1.165804994004e+00       7.616922065214e-07       9.992514112467e-01       7.611220123021e-07       6.142678480320e-01       1.581815789456e-13       1.304177454738e-06 
       3.269509558236e-01       1.282923985463e+04       1.165804975424e+00       7.838758150137e-07       9.991966761737e-01       7.832461088946e-07       6.315576927307e-01       1.625596439478e-13       1.412205739813e-06 
       3.462355041752e-01       1.275775967802e+04       1.165804954974e+00       8.068254603859e-07       9.991398681463e-01       8.061314841070e-07       6.494050487990e-01       1.670747725753e-13       1.525957159561e-06 
       3.659031963644e-01       1.268568608119e+04       1.165804932427e+00       8.305721195734e-07       9.990809103597e-01       8.298087493427e-07       6.678299822688e-01       1.717316652876e-13       1.645740677644e-06 
       3.859638981556e-01       1.261302749017e+04       1.165804907529e+00       8.551480947990e-07       9.990197235621e-01       8.543098132708e-07       6.868532490367e-01       1.765351682860e-13       1.771881680665e-06 
       4.064276873119e-01       1.253979315148e+04       1.165804879986e+00       8.805870643086e-07       9.989562260179e-01       8.796679304419e-07       7.064963078188e-01       1.814902747544e-13       1.904722780183e-06 
       4.273048515201e-01       1.246599314862e+04       1.165804849464e+00       9.069241343808e-07       9.988903334720e-01       9.059177510255e-07       7.267813322281e-01       1.866021257468e-13       2.044624646513e-06 
       4.486058858927e-01       1.239163841565e+04       1.165804815582e+00       9.341958926195e-07       9.988219591175e-01       9.330953716658e-07       7.477312218717e-01       1.918760106924e-13       2.191966875241e-06 
       4.703414900764e-01       1.231674074785e+04       1.165804777901e+00       9.624404625582e-07       9.987510135651e-01       9.612383874760e-07       7.693696123707e-01       1.973173674804e-13       2.347148887496e-06 
       4.925225649744e-01       1.224131280894e+04       1.165804735918e+00       9.916975595799e-07       9.986774048148e-01       9.903859451624e-07       7.917208841860e-01       2.029317820896e-13       2.510590865068e-06 
       5.151602090941e-01       1.216536813492e+04       1.165804689052e+00       1.022008548158e-06       9.986010382307e-01       1.020578797272e-06       8.148101701250e-01       2.087249877293e-13       2.682734721338e-06 
       5.382657145753e-01       1.208892113398e+04       1.165804636635e+00       1.053416500481e-06       9.985218165167e-01       1.051859357609e-06       8.386633614435e-01       2.147028634550e-13       2.864045109343e-06 
       5.618505629300e-01       1.201198708241e+04       1.165804577894e+00       1.085966256486e-06       9.984396396957e-01       1.084271757847e-06       8.633071124277e-01       2.208714322234e-13       3.055010468379e-06 
       5.859264205397e-01       1.193458211628e+04       1.165804511932e+00       1.119704485363e-06       9.983544050896e-01       1.117861905361e-06       8.887688433507e-01       2.272368583548e-13       3.256144110634e-06 
       6.105051340008e-01       1.185672321855e+04       1.165804437710e+00       1.154679748652e-06       9.982660073013e-01       1.152677542399e-06       9.150767417430e-01       2.338054443614e-13       3.467985349919e-06 
       6.355987253444e-01       1.177842820154e+04       1.165804354018e+00       1.190942564954e-06       9.981743381982e-01       1.188768306606e-06       9.422597618393e-01       2.405836270941e-13       3.691100674428e-06 
       6.612193870860e-01       1.169971568523e+04       1.165804259446e+00       1.228545476212e-06       9.980792868966e-01       1.226185792817e-06       9.703476219856e-01       2.475779731847e-13       3.926084964622e-06 
