# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       0.000000000000e+00       1.416503402075e+04       1.165805161509e+00       4.451819950702e-07       1.000000000000e+00       4.451819950702e-07       3.635026126617e-01       9.388693797758e-14       0.000000000000e+00 
       8.417437786715e-03       1.412775462653e+04       1.165805159147e+00       4.527081202426e-07       9.999832634500e-01       4.527005434705e-07       3.695405059410e-01       9.578086175646e-14       2.515507685424e-08 
       2.178305868368e-02       1.406886346823e+04       1.165805155228e+00       4.647880832026e-07       9.999562469051e-01       4.647677472855e-07       3.792440410665e-01       9.827080872466e-14       6.620599475036e-08 
       3.537861136581e-02       1.400934475898e+04       1.165805151022e+00       4.772390426852e-07       9.999282131835e-01       4.772047832137e-07       3.892343100923e-01       1.008329472374e-13       1.093694245080e-07 
       4.920988767291e-02       1.394919578258e+04       1.165805146501e+00       4.900747592308e-07       9.998991229393e-01       4.900253219296e-07       3.995212490448e-01       1.034697056338e-13       1.547580942175e-07 
       6.328285653843e-02       1.388841417313e+04       1.165805141638e+00       5.033095923553e-07       9.998689353307e-01       5.032436262500e-07       4.101151837615e-01       1.061836034838e-13       2.024909256223e-07 
       7.760366793843e-02       1.382699789445e+04       1.165805136400e+00       5.169585279339e-07       9.998376079565e-01       5.168745779821e-07       4.210268446872e-01       1.089772547752e-13       2.526933749080e-07 
       9.217865680147e-02       1.376494526170e+04       1.165805130751e+00       5.310372067527e-07       9.998050968020e-01       5.309337059028e-07       4.322673820527e-01       1.118533711483e-13       3.054978040450e-07 
       1.070143467970e-01       1.370225496619e+04       1.165805124654e+00       5.455619541970e-07       9.997713561874e-01       5.454372148318e-07       4.438483813675e-01       1.148147651643e-13       3.610438564652e-07 
       1.221174539781e-01       1.363892610104e+04       1.165805118063e+00       5.605498110950e-07       9.997363387154e-01       5.604020158117e-07       4.557818791998e-01       1.178643535991e-13       4.194788551033e-07 
       1.374948902558e-01       1.357495818763e+04       1.165805110932e+00       5.760185657376e-07       9.996999952190e-01       5.758457574139e-07       4.680803792120e-01       1.210051607498e-13       4.809582193377e-07 
       1.531537666819e-01       1.351035120265e+04       1.165805103204e+00       5.919867870926e-07       9.996622747082e-01       5.917868581821e-07       4.807568684181e-01       1.242403217442e-13       5.456459027306e-07 
       1.691013965157e-01       1.344510560575e+04       1.165805094821e+00       6.084738592291e-07       9.996231243175e-01       6.082445402281e-07       4.938248336239e-01       1.275730858365e-13       6.137148519733e-07 
       1.853452980506e-01       1.337922236761e+04       1.165805085714e+00       6.255000169660e-07       9.995824892535e-01       6.252388639870e-07       5.072982780044e-01       1.310068196777e-13       6.853474878591e-07 
       2.018931971763e-01       1.331270299838e+04       1.165805075808e+00       6.430863827565e-07       9.995403127419e-01       6.427907641405e-07       5.211917377717e-01       1.345450105415e-13       7.607362089896e-07 
       2.187530296524e-01       1.324554957627e+04       1.165805065019e+00       6.612550048184e-07       9.994965359763e-01       6.609220867130e-07       5.355202988767e-01       1.381912694892e-13       8.400839189500e-07 
       2.359329430683e-01       1.317776477617e+04       1.165805053249e+00       6.800288965180e-07       9.994510980666e-01       6.796556273419e-07       5.502996136874e-01       1.419493344541e-13       9.236045776835e-07 
       2.534412984694e-01       1.310935189818e+04       1.165805040394e+00       6.994320770124e-07       9.994039359884e-01       6.990151707227e-07       5.655459175787e-01       1.458230732244e-13       1.011523777787e-06 
       2.712866716240e-01       1.304031489568e+04       1.165805026331e+00       7.194896131545e-07       9.993549845343e-01       7.190255312266e-07       5.812760453628e-01       1.498164863016e-13       1.104079346459e-06 
       2.894778539154e-01       1.297065840298e+04       1.165805010924e+00       7.402276626632e-07       9.993041762651e-01       7.397125946863e-07       5.975074474883e-01       1.539337096117e-13       1.201521973820e-06 
       3.080238528366e-01       1.290038776206e+04       1.165804994019e+00       7.616735185587e-07       9.992514414633e-01       7.611033613443e-07       6.142582059257e-01       1.581790170431e-13       1.304115868341e-06 
       3.269338920757e-01       1.282950904837e+04       1.165804975442e+00       7.838556548631e-07       9.991967080881e-01       7.832259899555e-07       6.315470496557e-01       1.625568227837e-13       1.412139440104e-06 
       3.462174111784e-01       1.275802909528e+04       1.165804954994e+00       8.068037735666e-07       9.991399017314e-01       8.061098430379e-07       6.493933696728e-01       1.670716834314e-13       1.525886012656e-06 
       3.658840647772e-01       1.268595551700e+04       1.165804932450e+00       8.305488528578e-07       9.990809455771e-01       8.297855332611e-07       6.678172334086e-01       1.717282998456e-13       1.645664564195e-06 
       3.859437213841e-01       1.261329672964e+04       1.165804907555e+00       8.551231966196e-07       9.990197603608e-01       8.542849709659e-07       6.868393984802e-01       1.765315187115e-13       1.771800498888e-06 
       4.064064617455e-01       1.254006197011e+04       1.165804880015e+00       8.805604851925e-07       9.989562643331e-01       8.796414128072e-07       7.064813256620e-01       1.814863337843e-13       1.904636449125e-06 
       4.272825767621e-01       1.246626131268e+04       1.165804849498e+00       9.068958274089e-07       9.988903732241e-01       9.058895115158e-07       7.267651909789e-01       1.865978867812e-13       2.044533109560e-06 
       4.485825649847e-01       1.239190568267e+04       1.165804815621e+00       9.341658139090e-07       9.988220002108e-01       9.330653667771e-07       7.477138968147e-01       1.918714678879e-13       2.191870103840e-06 
       4.703171297114e-01       1.231700686725e+04       1.165804777945e+00       9.624085717625e-07       9.987510558870e-01       9.612065772425e-07       7.693510819416e-01       1.973125158463e-13       2.347046885087e-06 
