# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       0.000000000000e+00       1.416504541244e+04       1.165805161509e+00       4.451819950702e-07       1.000000000000e+00       4.451819950702e-07       3.635026818651e-01       9.388694374188e-14       0.000000000000e+00 
       8.417267764830e-03       1.412776676593e+04       1.165805159147e+00       4.527079675870e-07       9.999832637885e-01       4.527003909707e-07       3.695404534009e-01       9.578084143142e-14       2.515456582293e-08 
       2.178279254719e-02       1.406887600350e+04       1.165805155228e+00       4.647878410826e-07       9.999562474369e-01       4.647675054233e-07       3.792439181993e-01       9.827076999462e-14       6.620518113256e-08 
       3.537824748323e-02       1.400935767257e+04       1.165805151022e+00       4.772387072351e-07       9.999282139107e-01       4.772044481347e-07       3.892341139254e-01       1.008328893493e-13       1.093682966846e-07 
       4.920942463131e-02       1.394920905556e+04       1.165805146501e+00       4.900743266674e-07       9.998991238635e-01       4.900248898627e-07       3.995209766838e-01       1.034696278577e-13       1.547566409929e-07 
       6.328229316843e-02       1.388842778513e+04       1.165805141638e+00       5.033090590082e-07       9.998689364525e-01       5.032430935375e-07       4.101148324147e-01       1.061835051192e-13       2.024891363737e-07 
       7.760300333994e-02       1.382701182367e+04       1.165805136400e+00       5.169578902788e-07       9.998376092761e-01       5.168739411128e-07       4.210264116925e-01       1.089771351582e-13       2.526912397543e-07 
       9.217789037013e-02       1.376495948490e+04       1.165805130752e+00       5.310364614473e-07       9.998050983185e-01       5.309329615480e-07       4.322668649058e-01       1.118532296592e-13       3.054953140338e-07 
       1.070134782510e-01       1.370226945864e+04       1.165805124654e+00       5.455610981190e-07       9.997713578990e-01       5.454363598833e-07       4.438477777530e-01       1.148146012356e-13       3.610410037788e-07 
       1.221164833854e-01       1.363894083654e+04       1.165805118064e+00       5.605488413833e-07       9.997363406192e-01       5.604010474229e-07       4.557811870231e-01       1.178641667236e-13       4.194756332834e-07 
       1.374938180607e-01       1.357497313852e+04       1.165805110932e+00       5.760174798358e-07       9.996999973109e-01       5.758446730429e-07       4.680795966335e-01       1.210049504901e-13       4.809546235291e-07 
       1.531525937319e-01       1.351036633983e+04       1.165805103205e+00       5.919855827946e-07       9.996622769827e-01       5.917856556374e-07       4.807559938887e-01       1.242400877414e-13       5.456419299426e-07 
       1.691001240868e-01       1.344512089874e+04       1.165805094822e+00       6.084725347262e-07       9.996231267680e-01       6.082432177154e-07       4.938238659213e-01       1.275728278197e-13       6.137105013600e-07 
       1.853439278719e-01       1.337923778457e+04       1.165805085715e+00       6.254985708961e-07       9.995824918716e-01       6.252374201585e-07       5.072972162711e-01       1.310065374739e-13       6.853427610147e-07 
       2.018917314526e-01       1.331271850619e+04       1.165805075809e+00       6.430848142542e-07       9.995403155178e-01       6.427891981443e-07       5.211905815525e-01       1.345447040849e-13       7.607311102576e-07 
       2.187514710844e-01       1.324556514064e+04       1.165805065020e+00       6.612533135654e-07       9.994965388984e-01       6.609203982437e-07       5.355190481569e-01       1.381909388312e-13       8.400784557449e-07 
       2.359312948705e-01       1.317778036172e+04       1.165805053251e+00       6.800270827935e-07       9.994511011215e-01       6.796538166904e-07       5.502982689299e-01       1.419489797723e-13       9.235987608190e-07 
       2.534395643839e-01       1.310936746857e+04       1.165805040395e+00       6.994301417424e-07       9.994039391609e-01       6.990132388252e-07       5.655444797599e-01       1.458226948316e-13       1.011517621809e-06 
       2.712848559310e-01       1.304033041377e+04       1.165805026332e+00       7.194875579599e-07       9.993549878073e-01       7.190234797125e-07       5.812745160073e-01       1.498160846546e-13       1.104072869976e-06 
       2.894759614382e-01       1.297067383099e+04       1.165805010925e+00       7.402254899043e-07       9.993041796194e-01       7.397104259221e-07       5.975058286999e-01       1.539332853185e-13       1.201515199827e-06 
       3.080218889420e-01       1.290040306177e+04       1.165804994021e+00       7.616712313764e-07       9.992514448778e-01       7.611010784747e-07       6.142565004152e-01       1.581785708694e-13       1.304108824529e-06 
       3.269318626686e-01       1.282952418132e+04       1.165804975444e+00       7.838532572153e-07       9.991967115395e-01       7.832235969390e-07       6.315452607647e-01       1.625563556586e-13       1.412132159146e-06 
       3.462153226889e-01       1.275804402301e+04       1.165804954996e+00       8.068012702579e-07       9.991399051946e-01       8.061073446764e-07       6.493915013915e-01       1.670711964511e-13       1.525878532463e-06 
       3.658819241414e-01       1.268597020129e+04       1.165804932453e+00       8.305462495623e-07       9.990809490249e-01       8.297829352217e-07       6.678152903874e-01       1.717277942754e-13       1.645656928130e-06 
       3.859415360178e-01       1.261331113278e+04       1.165804907558e+00       8.551204998947e-07       9.990197637640e-01       8.542822797946e-07       6.868373860342e-01       1.765309959862e-13       1.771792755935e-06 
       4.064042395088e-01       1.254007605522e+04       1.165804880018e+00       8.805577024826e-07       9.989562676608e-01       8.796386359319e-07       7.064792497672e-01       1.814857955060e-13       1.904628653989e-06 
